First Name,Middle Name,Last Name,Maiden Name,Full Name at Birth,Alternative Name,Birthday,Birthplace,Height,Weight,Zodiac Sign,Sexuality,Religion,Ethnicity,Nationality,Occupation
Lucky,MacMillan,Lorenzana,Youmans,Vanessa Lynn Williams,"Briana Blaze, Breanna Blaze","29th April, 1924","Menen, Belgium","6' 2¼"" (189 cm)",183lbs (83 kg),,,,,Macedonian,Computer Programmer
Raelene Elaine,Roger,Sylvers,Taylor,Eva Gabor,Carlita Ochoa,"19th April, 1978","Indore, Madhya Pradesh, India","5' 3¼"" (161 cm)",113lbs (51 kg),,,,,Greek,Art Department
Anne-Marie,Me Shay Jacqueli,Heimgartner,Middleton,Doutzen Kroes,Eduardo Pelizzari,"29th December, 1942","Lisbone, Portugal","4' 11¾"" (152 cm)",122lbs (55 kg),,,,,French,Artist
Claucirlei,Honeyblossom,Kosinski,Biegger,Miriama Te Rangimarie Smith,"Kellie Noelle Christian, Kellie Martin, Kellie Noelle Martin","17th January, 1984","Canton, Ohio, USA","5' 4½"" (164 cm)",177lbs (80 kg),,,,,Brazilian,Set Decorator
Alexandria,Selin,Zechory,Johnson,Daniel Roach,"Betty Lynn Buckley, Betty Buckley, Betty, The Voice of Broadway","24th August, 1929","Pecatonica, Illinois, USA","5' 9"" (175 cm)",202lbs (92 kg),,,,,Ghanaian,Violinist
Morena,Alena,Stauff,Garber,Julio José Iglesias de la Cueva,Samantha Bryant Hanks,"16th April, 1993","Karlovy vary, Czech Republic","6' 6¼"" (199 cm)",171lbs (78 kg),,,,,Maltese,Daredevil
Spender,Somerset,Brenner,Liezl Sumilang,Theodor Capitani von Kurnatowski,"Ryan Destiny, Ryan Irons, Ryan","8th June, 1950","Montreal, QC","7' 0"" (213 cm)",95lbs (43 kg),,,,,Canadian,Model
Lance,'Hutch',Christóforo,Goode,Samuel Dylan Murray Preston,"El Niño, Torres, Nando","4th May, 1952","Saint Joseph, Missouri, USA","5' 6½"" (169 cm)",258lbs (117 kg),,,,,American,Ice Hockey
Mick,Hollis St. Claire,Baby,Ruben,Jake Ankers,"Helene, Tawnee Peaks, Michele Ann Laird, Tawney Peaks","9th June, 1983","Kansas City, Missouri, USA","5' 8.112731"" (173 cm)",239lbs (108 kg),,,,,Taiwanese,Manager
Rosy,Walter,Vahl,Boczarska,Gloria Stavers,Igor Rickli Christóforo,"5th November, 1900","Little Rock, Arkansas, USA","5' 7¾"" (172 cm)",224lbs (102 kg),,,,,Tanzanian,Martial Arts
Richárd,(scarlet),Babekov,Schüll,Kovács Dániel Richárd,"Zack, Zach","27th October, 1978","Forest Hill, London, England, UK","6' 8½"" (204 cm)",160lbs (73 kg),,,,,Egyptian,Archaeologist
Teyana,Makkonen,Rabil,Davis-Goff,Wendy Orlean Williams,Robin Douglas-Home,"2nd December, 1966","Daly City, CA, USA","6' 5"" (196 cm)",266lbs (121 kg),,,,,Senegalese,Sales Professional
Lacy,Burkit,Hollande,Teigen,Scott Harrison,"Diana Princess of Wales, Diana, Princess of Wales, Lady Di, People’s Princess, The Queen of Hearts, The Princess of Hearts, Shy Di, England’s Rose, Princess Di, Diana Spencer, Diana Frances Spencer","1st March, 1985","Mar de Plata, Buenos Aires Argentina","6' 4"" (193 cm)",126lbs (57 kg),,,,,Icelander,Wrestling
Jehona,'Big Boy',Antony-Barber,Stevens,Elisa Ann Schwartz,"Aisha Naomi Tyler, Aisha Nilaja Tyler, Aisha","11th August, 1958","San Juan de Luz, France","5' 3"" (160 cm)",180lbs (82 kg),,,,,Bahamanian,Basketball
Balthazar,Puni,Castorf,Vergara,George Timothy Clooney,Oliver Green,"9th January, 1981","Girne, Turkish Republic of Northern Cyprus","6' 4½"" (194 cm)",10lbs (5 kg),,,,,English,Gymnastics
Úrsula,Yun,Reisz,Keel,Jonna Danielle Mannion,"Deborah Mazar, Debi Mazar","26th February, 1991","Maryland, United States","5' 2¾"" (159 cm)",236lbs (107 kg),,,,,Nigerian,Drummer
Bridgette,Nesta,Lykourezos,Villiers-Farrow,"Mitchell May, Jr","Hercegfalvi Zoltán, Zoltán Hercegfalvi","20th June, 1987","Sorrento, Italy","5' 0"" (152 cm)",185lbs (84 kg),,,,,Nepalese,Conductor
Corrado,Cardozo,Garrel,Cahill,Estelle Fanta Swaray,Anna Bergman,"30th November, 1943","McLenna Country, Texas","5' 5¼"" (166 cm)",251lbs (114 kg),,,,,Nicaraguan,Engineer
Rakesh,Reina,Johnstone-Burt,Towle,Pamela Anne Casselberry,"Cari-Weiner, Weiner-Dee, Lame-O","28th March, 1944","Little Rock, Arkansas","6' 6"" (198 cm)",195lbs (88 kg),,,,,Salvadoran,Sports Figure
Yolanthe,S.,Aubrey,Garcia-Colace,Mary Jo Tarola,"Donna Belle Mullenger, Donna Reed, Donnabelle Mullenger","28th March, 1971","Quakertown, Pennsylvania, USA","6' 3"" (191 cm)",147lbs (67 kg),,,,,Kuwaiti,Other
Dita,Wesley,Teigen,McCreary,John Anthony Miller III,"King of The Cowboys, King of The West, Buck, Leonard Franklin Slye, Roy Rogers, Leonard Slye","17th March, 1994","Portsmouth, England, UK","5' 4"" (163 cm)",207lbs (94 kg),,,,,Serbian,Chef
Roselyn,Hirsch,Juan,Xavier,William James O`Reilly Jr.,"Chennin Blanc, Chanin Blanc, Lynn, Shanon Blanc, Chenin Blanc, Chennin, Jamie Lynn Grim","7th July, 1991","Lewisham, London, England","5' 10½"" (179 cm)",206lbs (93 kg),,,,,Emirian,Editor
Erwin,Mildred,Biel,Sabene,Adam Kaufman,"Dr. Robert Ashton, Robert Ashton","8th April, 1966","Crumpsall, Manchester, England, UK","5' 11½"" (182 cm)",NA,,,,,Barbadian,TV Personality
Delores,Robert Joseph,Vergara,Wallem,Ryan Christian Kwanten,Marc Webb,"30th April, 1987","Johannesburg, South Africa","6' 1¾"" (187 cm)",120lbs (54 kg),,,,,Norwegian,Sport Shooter
Ferlin,Saleem,Burke,Roper,Parker Van Noord,Ignacio Dominguez,"2nd August, 1966","Lafayette, California, USA","7' 1½"" (217 cm)",131lbs (59 kg),,,,,Armenian,Camera Department
Giuseppa,Armando,Casas Sierra,Maynor,Dawn Spielburg,"Manó Kertész Kaminer, Michael Curtiz","7th March, 1964","Colchester, England","6' 3¾"" (192 cm)",43lbs (20 kg),,,,,Northern Irish,Pundit
Spalding,Run,Keel,Curtis,Chittra Sukhu,"Debra Messy, The First Lady of Broadway, Debra","2nd April, 1969","Enterprise, Alabama, USA","5' 4¾"" (164 cm)",233lbs (106 kg),,,,,Belgian,Jazz Musician
